Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 ITAPETINGA; A446;-15.24472221;-40.22944443;64-10;64-10;64-10
 BELMONTE; A447;-16.08805555;-39.21527777;58-10;64-10;64-10
 BARBACE; A502;-21.228373;-43.767703;58-10;58-10;58-10
 ARAXA; A505;-19.605696;-46.949617;58-10;58-10;64-10
 MONTES CLAROS; A506;-16.68638888;-43.84388888;64-10;64-10;64-10
 UBERLANDIA; A507;-18.91694443;-48.25555555;58-10;64-10;64-10
 ALMERA; A508;-16.166773;-40.687756;64-10;64-10;64-10
 MONTE VERDE; A509;-22.86166666;-46.04333333;52-10;52-10;58-10
 VICOSA; A510;-20.762607;-42.864013;58-10;58-10;64-10
 TIMOTEO; A511;-19.57388888;-42.62249999;58-10;64-10;64-10
 ITUIUTABA; A512;-18.95277777;-49.52499999;64-10;64-10;64-10
 OURO BRANCO; A513;-20.55666666;-43.75611111;58-10;58-10;64-10
 SAO JOAO DEL REI; A514;-21.106502;-44.250928;58-10;58-10;58-10
 VARGINHA; A515;-21.56638888;-45.40416666;58-10;58-10;64-10
 PASSOS; A516;-20.745237;-46.633916;58-10;64-10;64-10
 MURIAE; A517;-21.104867;-42.375904;64-10;64-10;64-10
 JUIZ DE FORA; A518;-21.769965;-43.364329;58-10;58-10;58-10
 CAMPI VERDE; A519;-19.53921;-49.518133;64-10;64-10;70-10
 CONCEICAO DAS ALAGOAS; A520;-19.98586;-48.151574;64-10;64-10;64-10
 PAMPULHA; A521;-19.883945;-43.969397;58-10;64-10;64-10
 SERRA DOS AIMORES; A522;-17.798799;-40.249933;64-10;64-10;64-10
 PATROCINIO; A523;-18.996684;-46.985935;58-10;64-10;64-10
 FORMIGA; A524;-20.455;-45.45388888;58-10;64-10;64-10
 SACRAMENTO; A525;-19.87527777;-47.43416666;58-10;64-10;64-10
 MONTALVANIA; A526;-14.40833333;-44.40416666;64-10;64-10;64-10
 TEOFILO OTONI; A527;-17.89284;-41.515423;58-10;64-10;64-10
 TRES MARIAS; A528;-18.200855;-45.459836;58-10;64-10;64-10
 PASSA QUATRO; A529;-22.395799;-44.961909;58-10;58-10;64-10
 CALDAS; A530;-21.918066;-46.382996;58-10;58-10;58-10
 MARIA DA FE; A531;-22.314567;-45.373049;58-10;58-10;58-10
 GOVERDOR VALADARES; A532;-18.830354;-41.977007;64-10;64-10;64-10
 GUANHAES; A533;-18.78694444;-42.94305555;58-10;58-10;64-10
 AIMORES; A534;-19.53277777;-41.09083333;64-10;64-10;64-10
 FLORESTAL; A535;-19.885398;-44.416883;58-10;64-10;64-10
 DORES DO INDAIA; A536;-19.481935;-45.593932;58-10;64-10;64-10
 DIAMANTI; A537;-18.231052;-43.648269;58-10;58-10;58-10
 CURVELO; A538;-18.747711;-44.453785;64-10;64-10;64-10
 MOCAMBINHO; A539;-15.085958;-44.016036;64-10;64-10;64-10
 MANTE; A540;-18.78062;-40.986505;64-10;64-10;64-10
 CAPELINHA; A541;-17.705504;-42.389256;58-10;58-10;64-10
 UI; A542;-16.55416666;-46.88194443;64-10;64-10;64-10
 ESPINOSA; A543;-14.91222222;-42.80861111;64-10;64-10;64-10
 BURITIS; A544;-15.52416666;-46.43555555;58-10;64-10;64-10
 PIRAPORA; A545;-17.258064;-44.835556;64-10;64-10;64-10
 GUARDA-MOR; A546;-17.56138888;-47.19916666;58-10;64-10;64-10
 SAO ROMAO; A547;-16.362747;-45.123801;64-10;64-10;70-10
 CHAPADA GAUCHA; A548;-15.30027777;-45.61749999;58-10;64-10;64-10
 AGUAS VERMELHAS; A549;-15.751536;-41.457787;58-10;64-10;64-10
 ITAOBIM; A550;-16.575667;-41.485588;64-10;64-10;64-10
 RIO PARDO DE MIS; A551;-15.72305554;-42.43583333;58-10;64-10;64-10
 SALIS; A552;-16.16027777;-42.31027777;64-10;64-10;64-10
 JOAO PINHEIRO; A553;-17.784477;-46.119394;58-10;64-10;64-10
 CARATINGA; A554;-19.735757;-42.137146;58-10;64-10;64-10
 IBIRITE (ROLA MOCA); A555;-20.031457;-44.011249;58-10;58-10;58-10
 MANHUACU; A556;-20.26333333;-42.18277777;58-10;58-10;58-10
 SEROPEDICA-ECOLOGIA AGRICOLA; A601;-22.75777777;-43.68472221;64-10;64-10;64-10
 RIO DE JANEIRO-MARAMBAIA; A602;-23.05027777;-43.59555555;64-10;64-10;64-10
 DUQUE DE CAXIAS - XEREM; A603;-22.58972221;-43.28222221;64-10;64-10;64-10
 CAMBUCI; A604;-21.58749999;-41.95833333;64-10;64-10;64-10
 ARRAIAL DO CABO; A606;-22.97527777;-42.02138888;58-10;58-10;58-10
 CAMPOS DOS GOYTACAZES; A607;-21.71472222;-41.34388888;64-10;64-10;64-10
 MACAE; A608;-22.3761111;-41.81194444;58-10;64-10;64-10
 RESENDE; A609;-22.45138888;-44.44499999;64-10;64-10;64-10
 PICO DO COUTO; A610;-22.46472222;-43.29138888;52-10;52-10;52-10
 VALENCA; A611;-22.35805555;-43.69555555;58-10;64-10;64-10
 VITORIA; A612;-20.27083332;-40.30583333;58-10;64-10;64-10
 SANTA TERESA; A613;-19.988388;-40.579572;58-10;58-10;58-10
 LINHARES; A614;-19.35694444;-40.0686111;58-10;64-10;64-10
 ALFREDO CHAVES; A615;-20.63638888;-40.74194444;64-10;64-10;64-10
 SAO MATEUS; A616;-18.676198;-39.864051;58-10;58-10;64-10
 ALEGRE; A617;-20.75055555;-41.48888888;64-10;64-10;64-10
 TERESOPOLIS-PARQUE CIOL; A618;-22.4486111;-42.98694444;58-10;58-10;58-10
 PARATI; A619;-23.2236111;-44.72694443;58-10;64-10;64-10
 CAMPOS DOS GOYTACAZES - SAO TOME; A620;-22.04166666;-41.05166666;58-10;58-10;58-10
 RIO DE JANEIRO - VILA MILITAR; A621;-22.86138888;-43.41138888;64-10;64-10;64-10
 PRES. KENNEDY; A622;-21.10083333;-41.03944444;64-10;64-10;64-10
 NOVA VENECIA; A623;-18.69527777;-40.39055555;64-10;64-10;64-10
 NOVA FRIBURGO - SALIS; A624;-22.33472221;-42.67694443;58-10;58-10;58-10
 RIO DE JANEIRO - FORTE DE COPACABA; A652;-22.98833333;-43.19055555;58-10;64-10;64-10
 SAO PAULO - MIRANTE; A701;-23.496294;-46.620088;58-10;58-10;64-10
 CAMPO GRANDE; A702;-20.447195;-54.722615;64-10;64-10;64-10
 PONTA PORA; A703;-22.5525;-55.71638888;58-10;64-10;64-10
 TRES LAGOAS; A704;-20.78333333;-51.71222222;64-10;64-10;64-10
 BAURU; A705;-22.358052;-49.028877;58-10;64-10;64-10
 CAMPOS DO JORDAO; A706;-22.75027777;-45.60388888;52-10;52-10;58-10
 PRESIDENTE PRUDENTE; A707;-22.119867;-51.408637;64-10;64-10;64-10
 FRANCA; A708;-20.58444444;-47.38249999;58-10;64-10;64-10
 IVINHEMA; A709;-22.30055555;-53.82277777;64-10;64-10;64-10
 PARAIBA; A710;-19.69555555;-51.18166666;64-10;64-10;64-10
 SAO CARLOS; A711;-21.980353;-47.883927;58-10;64-10;64-10
 IGUAPE; A712;-24.671654;-47.545896;58-10;64-10;64-10
 SOROCABA; A713;-23.4261111;-47.58555555;58-10;64-10;64-10
 ITAPEVA; A714;-23.98194443;-48.88583333;58-10;58-10;64-10
 SAO MIGUEL ARCANJO; A715;-23.85194444;-48.16472222;58-10;58-10;64-10
 OURINHOS; A716;-22.94888888;-49.89444444;64-10;64-10;64-10
 NHUMIRIM; A717;-18.9886111;-56.62277777;64-10;64-10;64-10
 RANCHARIA; A718;-22.372832;-50.97471;64-10;64-10;64-10
 AQUIDAUA; A719;-20.47555554;-55.78388888;64-10;64-10;64-10
 COXIM; A720;-18.51222222;-54.7361111;64-10;70-10;70-10
 DOURADOS; A721;-22.19388888;-54.91138888;64-10;64-10;64-10
 MIRANDA; A722;-20.39555555;-56.43166666;64-10;64-10;64-10
 PORTO MURTINHO; A723;-21.70583333;-57.88666666;64-10;64-10;64-10
 CORUMBA; A724;-18.99667;-57.6375;64-10;64-10;64-10
 AVARE; A725;-23.10166666;-48.9411111;58-10;58-10;64-10
 PIRACICABA; A726;-22.70305555;-47.62333332;58-10;64-10;64-10
 LINS; A727;-21.66611111;-49.73472221;64-10;64-10;64-10
 TAUBATE; A728;-23.04166666;-45.52083332;58-10;64-10;64-10
 VOTUPORANGA; A729;-20.40333333;-49.96611111;64-10;64-10;64-10
 CHAPADAO DO SUL; A730;-18.80222222;-52.6025;58-10;64-10;64-10
 MARACAJU; A731;-21.60916666;-55.17749999;64-10;64-10;64-10
 SAO GABRIEL DO OESTE; A732;-19.42027777;-54.55305555;64-10;64-10;64-10
 JALES; A733;-20.165;-50.59499999;64-10;64-10;64-10
 VALPARAISO; A734;-21.31916666;-50.93027777;64-10;64-10;64-10
 JOSE BONIFACIO; A735;-21.08555555;-49.92027777;64-10;64-10;64-10
 ARIRANHA; A736;-21.13305554;-48.84055555;64-10;64-10;64-10
 IBITINGA; A737;-21.85555555;-48.79972221;64-10;64-10;64-10
 CASA BRANCA; A738;-21.78055554;-47.07527777;58-10;64-10;64-10
 ITAPIRA; A739;-22.415;-46.80527777;58-10;64-10;64-10
 SAO LUIS DO PARAITINGA; A740;-23.22833332;-45.41694443;58-10;58-10;58-10
 BARRA BONITA; A741;-22.4711111;-48.5575;64-10;64-10;64-10
 CASSILANDIA; A742;-19.12249999;-51.72083332;64-10;64-10;70-10
 RIO BRILHANTE; A743;-21.774944;-54.528108;64-10;64-10;64-10
 PRADOPOLIS; A747;-21.33833333;-48.11388888;64-10;64-10;64-10
 BARRETOS; A748;-20.55916666;-48.54499999;64-10;64-10;70-10
 JUTI; A749;-22.85722222;-54.60555555;64-10;64-10;64-10
 AMAMBAI; A750;-23.0025;-55.32944443;64-10;64-10;64-10
 SETE QUEDAS; A751;-23.96694443;-55.02416666;64-10;64-10;64-10
 ITAQUIRAI; A752;-23.449501;-54.181858;64-10;64-10;64-10
 ITUVERAVA; A753;-20.35972222;-47.77527777;64-10;64-10;64-10
 SIDROLANDIA; A754;-20.98166666;-54.97194443;64-10;64-10;64-10
 AGUA CLARA; A756;-20.44444444;-52.87583332;64-10;70-10;70-10
 JARDIM; A758;-21.4786111;-56.13777777;64-10;64-10;64-10
 PORTO ALEGRE; A801;-30.05361111;-51.17472221;58-10;64-10;64-10
 RIO GRANDE; A802;-32.07878;-52.167738;58-10;58-10;58-10
 SANTA MARIA; A803;-29.72499999;-53.72055554;58-10;64-10;64-10
 SANTA DO LIVRAMENTO; A804;-30.75055555;-55.40138888;58-10;58-10;64-10
 SANTO AUGUSTO; A805;-27.854345;-53.791179;58-10;58-10;64-10
 FLORIANOPOLIS; A806;-27.60253;-48.620096;58-10;58-10;58-10
 CURITIBA; A807;-25.4486111;-49.23055554;58-10;58-10;58-10
 TORRES; A808;-29.35027777;-49.73333333;58-10;58-10;58-10
 URUGUAIA; A809;-29.83987;-57.081899;64-10;64-10;64-10
 SANTA ROSA; A810;-27.890463;-54.480014;58-10;64-10;64-10
 CANGUCU; A811;-31.40333333;-52.70083333;58-10;58-10;58-10
 CACAPAVA DO SUL; A812;-30.54527777;-53.46694443;58-10;58-10;58-10
 RIO PARDO; A813;-29.87222221;-52.38194443;58-10;64-10;64-10
 URUSSANGA; A814;-28.53249999;-49.31527777;58-10;64-10;64-10
 SAO JOAQUIM; A815;-28.27564;-49.934617;52-10;52-10;58-10
 NOVO HORIZONTE; A816;-26.40638888;-52.85027777;58-10;58-10;58-10
 INDAIAL; A817;-26.913704;-49.267978;58-10;64-10;64-10
 IVAI; A818;-25.010757;-50.853853;58-10;58-10;58-10
 CASTRO; A819;-24.78694444;-49.99916666;58-10;58-10;58-10
 MAL. CANDIDO RONDON; A820;-24.53333333;-54.01916666;64-10;64-10;64-10
 JOAQUIM TAVORA; A821;-23.505266;-49.946387;58-10;64-10;64-10
 NOVA TEBAS; A822;-24.43722221;-51.96305555;58-10;58-10;64-10
 ICIO MARTINS; A823;-25.567879;-51.077946;52-10;58-10;58-10
 ICARAIMA; A824;-23.39027777;-53.63583333;64-10;64-10;64-10
 GOIOERE; A825;-24.15833333;-53.03055554;58-10;64-10;64-10
 ALEGRETE; A826;-29.709083;-55.525486;64-10;64-10;64-10
 BAGE; A827;-31.34777777;-54.01333333;58-10;58-10;64-10
 ERECHIM; A828;-27.65771;-52.305805;58-10;58-10;58-10
 SAO JOSE DOS AUSENTES; A829;-28.748615;-50.057869;52-10;58-10;58-10
 SAO BORJA; A830;-28.650092;-56.016291;58-10;64-10;64-10
 QUARAI; A831;-30.368578;-56.437115;64-10;64-10;64-10
 SAO GABRIEL; A832;-30.341438;-54.310909;58-10;64-10;64-10
 SANTIAGO; A833;-29.191599;-54.885653;58-10;64-10;64-10
 TRAMANDAI; A834;-30.01027777;-50.13583333;58-10;58-10;58-10
 MARINGA; A835;-23.40527777;-51.93277777;58-10;64-10;64-10
 JAGUARAO; A836;-32.53472221;-53.37583332;58-10;58-10;58-10
 SOLEDADE; A837;-28.859211;-52.542387;58-10;58-10;58-10
 CAMAQUA; A838;-30.807953;-51.83424;58-10;58-10;64-10
 PASSO FUNDO; A839;-28.226805;-52.403582;58-10;58-10;58-10
 BENTO GONCALVES; A840;-29.164581;-51.534202;58-10;58-10;58-10
 JOACABA; A841;-27.16916666;-51.55888888;58-10;58-10;58-10
 NOVA FATIMA; A842;-23.41527777;-50.57777777;58-10;58-10;64-10
 DOIS VIZINHOS; A843;-25.69916666;-53.09527777;58-10;58-10;64-10
 LAGOA VERMELHA; A844;-28.222381;-51.512845;58-10;58-10;58-10
 BOM JARDIM DA SERRA - MORRO DA IGREJA; A845;-28.126992;-49.47961;52-10;52-10;52-10
 FOZ DO IGUACU; A846;-25.60194444;-54.48305554;64-10;64-10;64-10
 ILHA DO MEL; A847;-25.49444444;-48.3261111;58-10;58-10;58-10
 DIONISIO CERQUEIRA; A848;-26.286562;-53.633114;58-10;58-10;58-10
 DIAMANTE DO NORTE; A849;-22.63944444;-52.89027777;64-10;64-10;64-10
 PARAPOEMA; A850;-22.65833333;-52.13444444;64-10;64-10;64-10
 ITAPOA; A851;-26.08138888;-48.64166666;58-10;58-10;58-10
 SAO LUIZ GONZAGA; A852;-28.417113;-54.962403;64-10;64-10;64-10
 CRUZ ALTA; A853;-28.60344;-53.673597;58-10;64-10;64-10
 FREDERICO WESTPHALEN; A854;-27.39555555;-53.42944443;58-10;58-10;64-10
 PLALTO; A855;-25.72194443;-53.74805555;64-10;64-10;64-10
 PALMEIRA DAS MISSOES; A856;-27.92027777;-53.31805554;58-10;58-10;58-10
 SAO MIGUEL DO OESTE; A857;-26.7861111;-53.51388888;58-10;58-10;64-10
 XANXERE; A858;-26.938666;-52.39809;58-10;58-10;58-10
 CACADOR; A859;-26.819156;-50.98552;58-10;58-10;58-10
 CURITIBANOS; A860;-27.288624;-50.604283;58-10;58-10;58-10
 RIO DO CAMPO; A861;-26.93749999;-50.14555555;58-10;58-10;58-10
 RIO NEGRINHO; A862;-26.248411;-49.580624;58-10;58-10;58-10
 ITUPORANGA; A863;-27.41833332;-49.64694444;58-10;58-10;58-10
 MAJOR VIEIRA; A864;-26.3936111;-50.36333333;58-10;58-10;58-10
 Lagu - Farol de Santa Marta; A866;-28.60444444;-48.81333333;52-10;58-10;58-10
 ARARANGUA; A867;-28.931353;-49.49792;58-10;58-10;58-10
 CIDADE GAUCHA; A869;-23.359156;-52.931912;64-10;64-10;64-10
 JAPIRA; A871;-23.77333332;-50.18055554;58-10;58-10;64-10
 MORRETES; A873;-25.508935;-48.808681;58-10;64-10;64-10
 GENERAL CARNEIRO; A875;-26.3986111;-51.35361111;58-10;58-10;58-10
 CLEVELANDIA; A876;-26.41722221;-52.3486111;58-10;58-10;58-10
 MOSTARDAS; A878;-31.24833333;-50.90638888;58-10;58-10;58-10
 CANELA; A879;-29.36888888;-50.82722221;58-10;58-10;58-10
 VACARIA; A880;-28.513602;-50.882738;58-10;58-10;58-10
 DOM PEDRITO; A881;-31.0025;-54.61805554;58-10;64-10;64-10
 Santa Vitoria do Palmar - Barra do Chui; A899;-33.742297;-53.372218;58-10;58-10;58-10
 CUIABA; A901;-15.559295;-56.062951;64-10;64-10;64-10
 TANGARA DA SERRA; A902;-14.65;-57.43166666;64-10;64-10;64-10
 S.J. DO RIO CLARO; A903;-13.45388888;-56.67722221;64-10;64-10;64-10
 SORRISO; A904;-12.555;-55.72277777;64-10;64-10;64-10
 CAMPO NOVO DOS PARECIS; A905;-13.78583333;-57.8386111;64-10;64-10;64-10
 GUARANTA DO NORTE; A906;-9.9525;-54.89777777;64-10;64-10;64-10
 RONDONOPOLIS; A907;-16.4625;-54.58027777;64-10;70-10;70-10
 AGUA BOA; A908;-14.01638888;-52.21166666;64-10;64-10;64-10
 APIACAS; A910;-9.56333333;-57.3936111;64-10;64-10;64-10
 CAMPO VERDE; A912;-15.53138888;-55.13555555;58-10;64-10;64-10
 COMODORO; A913;-13.70805555;-59.7625;58-10;64-10;64-10
 JUARA; A914;-11.28027777;-57.52666666;64-10;64-10;64-10
 QUERENCIA; A916;-12.62722221;-52.22083332;64-10;64-10;64-10
 SINOP; A917;-11.98222221;-55.56611111;64-10;64-10;64-10
 CONFRESA; A918;-10.63944444;-51.57138888;64-10;64-10;64-10
 COTRIGUACU; A919;-9.90638888;-58.57222221;64-10;64-10;64-10
 JUI; A920;-11.375126;-58.774785;64-10;64-10;64-10
 SAO FELIX DO ARAGUAIA; A921;-11.61888888;-50.72777777;64-10;64-10;64-10
 VILA BELA DA SANTISSIMA TRINDADE; A922;-15.06277777;-59.87305554;64-10;64-10;64-10
 PORTO VELHO; A925;-8.7936111;-63.84583333;64-10;64-10;64-10
 CARLINDA; A926;-9.97055554;-55.82749999;64-10;64-10;64-10
 BRASNORTE (NOVO MUNDO); A927;-12.52194443;-58.23138888;64-10;64-10;64-10
 NOVA MARINGA; A928;-13.0386111;-57.09222221;64-10;64-10;70-10
 NOVA UBIRATA; A929;-13.41111111;-54.75222222;64-10;64-10;64-10
 GAUCHA DO NORTE; A930;-13.18472221;-53.2575;64-10;64-10;64-10
 SANTO ANTONIO DO LESTE; A931;-14.92777777;-53.8836111;64-10;64-10;64-10
 GUIRATINGA; A932;-16.34166666;-53.76611111;64-10;64-10;70-10
 ITIQUIRA; A933;-17.17499999;-54.50166666;64-10;64-10;64-10
 ALTO TAQUARI; A934;-17.8411111;-53.28944444;58-10;64-10;64-10
 PORTO ESTRELA; A935;-15.32472221;-57.22583332;64-10;64-10;64-10
 SALTO DO CEU; A936;-15.12472221;-58.12722221;64-10;64-10;64-10
 PONTES E LACERDA; A937;-15.23444444;-59.3461111;64-10;64-10;64-10
 VILHE; A938;-12.73499999;-60.15777777;58-10;64-10;64-10
 CACOAL; A939;-11.445837;-61.434146;64-10;64-10;64-10
 ARIQUEMES; A940;-9.94888888;-62.96194444;64-10;64-10;64-10
